theta,psi,K
0.13455024,-81.0961057853784,0.010763446
0.13194904,-85.11380382023167,0.009186396
0.12939855,-89.33054837332324,0.007856234
0.12689811,-93.7562006925814,0.0067336466
0.12444702,-98.4011105761064,0.005785478
0.122044444,-103.2761405761324,0.0049837753
0.11968973,-108.39269140211263,0.0043050437
0.11738205,-113.76272858233496,0.0037295707
0.11512086,-119.39881044641876,0.0032408372
0.11290529,-125.31411749413259,0.0028249973
0.11073458,-131.52248321921437,0.0024704698
0.10860801,-138.03842646027852,0.0021675462
0.106524885,-144.87718535446564,0.001908132
0.10448447,-152.0547529732385,0.0016854372
0.102485925,-159.5879147236616,0.0014937815
0.10052866,-167.4942876026315,0.0013284112
0.09861177,-175.79236139585637,0.0011853381
0.0967347,-184.5015419179338,0.0010612179
0.094896644,-193.64219639464642,0.0009532438
0.09309682,-203.23570109360713,0.00085905043
0.09133461,-213.3044913146418,0.0007766483
0.089609355,-223.8721138568173,0.0007043575
0.08792022,-234.9632820848132,0.0006407599
0.08626655,-246.60393372341545,0.0005846517
0.084647685,-258.8212915152897,0.0005350133
0.08306295,-271.6439268838878,0.00049097923
0.08151165,-285.1018267503694,0.00045180906
0.07999316,-299.22646366079624,0.0004168723
0.07850668,-314.0508693875979,0.0003856297
0.07705176,-329.60971217743264,0.00035761867
0.075627595,-345.93937782609555,0.0003324409
0.07423368,-363.07805477007355,0.00030975376
0.07286936,-381.0658233937438,0.0002892616
0.07153401,-399.9447497610667,0.00027070797
0.07022697,-419.75898399097514,0.0002538714
0.06894773,-440.5548635065192,0.00023855743
0.06769562,-462.3810213992244,0.00022459951
0.066470206,-485.28850016208327,0.00021185003
0.06527072,-509.33087105715566,0.00020018002
0.06409684,-534.5643593969298,0.0001894771
0.06294778,-561.0479760324265,0.0001796419
0.06182319,-588.8436553555426,0.00017058737
0.06072241,-618.0164001383671,0.00016223582
0.059645027,-648.6344335481871,0.00015451934
0.05859047,-680.7693586936874,0.00014737758
0.05755821,-714.4963260754565,0.00014075656
0.05654791,-749.894209332396,0.00013460872
0.05555895,-787.0457896950358,0.00012889094
0.05459082,-826.0379495771125,0.00012356538
0.053643167,-866.9618757581469,0.000118598095
0.05271545,-909.9132726321782,0.00011395823
0.051807314,-954.9925860213588,0.000109618486
0.05091831,-1002.3052380778205,0.00010555387
0.050047904,-1051.9618738231375,0.00010174219
0.049195856,-1104.078619901981,9.816331e-05
0.0483616,-1158.7773561550314,9.479906e-05
0.047544777,-1216.186000646271,9.163274e-05
0.046745032,-1276.4388088112391,8.86495e-05
0.045962006,-1339.6766874258221,8.583564e-05
0.04519528,-1406.047524129798,8.317865e-05
0.044444382,-1475.7065332757754,8.066766e-05
0.04370916,-1548.8166189123529,7.829187e-05
0.042989105,-1625.5487557503454,7.604196e-05
0.04228401,-1706.0823890029812,7.390947e-05
0.041593283,-1790.6058540351482,7.188613e-05
0.04091695,-1879.316816803111,6.996507e-05
0.040254474,-1972.422736114684,6.81392e-05
0.03960547,-2070.1413487908676,6.640263e-05
0.038969845,-2172.7011788635655,6.474971e-05
0.038347125,-2280.342072000225,6.3174906e-05
0.0377371,-2393.3157564051794,6.167375e-05
