,z,t,theta_train
1257,-11.0,0.024,0.07208169255605226
1258,-11.0,0.036000000000000004,0.068337419769072
1259,-11.0,0.048,0.06723912552793604
1260,-11.0,0.06,0.06486714894690339
1261,-11.0,0.07200000000000001,0.0662373366678543
1262,-11.0,0.084,0.06741977953394723
1263,-11.0,0.096,0.07456491996692433
1264,-11.0,0.10800000000000001,0.077685150352759
1265,-11.0,0.12,0.0684642455823048
1266,-11.0,0.132,0.06090221562229389
1267,-11.0,0.14400000000000002,0.0699463626480742
1268,-11.0,0.156,0.06422242070432468
1269,-11.0,0.168,0.07435347373834751
1270,-11.0,0.18,0.07340900455234187
1271,-11.0,0.192,0.07664992089840458
1272,-11.0,0.204,0.07384418888503554
1273,-11.0,0.21600000000000003,0.07300943042183101
1274,-11.0,0.228,0.16198662792746646
1275,-11.0,0.24,0.1785420670127073
1276,-11.0,0.252,0.21148344492947038
1277,-11.0,0.264,0.2331523828763339
1278,-11.0,0.276,0.2374768670161039
1279,-11.0,0.28800000000000003,0.24032303553272213
1280,-11.0,0.3,0.23906197441830276
1281,-11.0,0.312,0.23124356219507392
1282,-11.0,0.324,0.24067772760575326
1283,-11.0,0.336,0.23330892976846074
1284,-11.0,0.34800000000000003,0.24604153303666867
1285,-11.0,0.36,0.24139553160579943
1286,-11.0,0.37200000000000005,0.22912965106175084
1287,-11.0,0.384,0.2386601605625384
1288,-11.0,0.396,0.2369876593775686
1289,-11.0,0.408,0.22934536102771186
1290,-11.0,0.42,0.22731571814290105
1291,-11.0,0.43200000000000005,0.2323889603285572
1292,-11.0,0.444,0.225623194198365
1293,-11.0,0.456,0.21576284497663284
1294,-11.0,0.46799999999999997,0.22648295984018177
1295,-11.0,0.48,0.22944618563313743
1296,-11.0,0.49200000000000005,0.21879020695987686
1297,-11.0,0.504,0.21268859552886338
1298,-11.0,0.516,0.21648308785015963
1299,-11.0,0.528,0.220881756602968
1300,-11.0,0.54,0.21623788199317925
1301,-11.0,0.552,0.2219288610365185
1302,-11.0,0.5640000000000001,0.21127754296244705
1303,-11.0,0.5760000000000001,0.2086910030924497
1304,-11.0,0.588,0.22021580508137295
1305,-11.0,0.6,0.21291929681062025
1306,-11.0,0.612,0.21806479571531748
1307,-11.0,0.624,0.2108286419535742
1308,-11.0,0.636,0.21276873989509842
1309,-11.0,0.648,0.2008948097525465
1310,-11.0,0.66,0.20325938434119561
1311,-11.0,0.672,0.20149938079492916
1312,-11.0,0.684,0.20573305728845576
1313,-11.0,0.6960000000000001,0.2052799455922195
1314,-11.0,0.708,0.2082740763796051
1315,-11.0,0.72,0.2056385109796464
1316,-11.0,0.732,0.2072092591243311
1317,-11.0,0.7440000000000001,0.20604701497550826
1318,-11.0,0.7559999999999999,0.20106768237164827
1319,-11.0,0.768,0.2045320458851473
1320,-11.0,0.78,0.20886371125216371
1321,-11.0,0.792,0.1954541728737821
1322,-11.0,0.804,0.19915186888784425
1323,-11.0,0.8160000000000001,0.1996493009931029
1324,-11.0,0.8280000000000001,0.19551518534370096
1325,-11.0,0.84,0.18801464794856032
1326,-11.0,0.852,0.19822194659495265
1327,-11.0,0.8640000000000001,0.19400024874238309
1328,-11.0,0.8759999999999999,0.20455545270249356
1329,-11.0,0.888,0.20557126514728266
1330,-11.0,0.9,0.2037473057927197
1331,-11.0,0.912,0.19222797831215394
1332,-11.0,0.924,0.19348932727306534
1333,-11.0,0.9359999999999999,0.18430814159131206
1334,-11.0,0.948,0.19816129794302698
1335,-11.0,0.96,0.1932449329828306
1336,-11.0,0.972,0.19071417149424685
1337,-11.0,0.9840000000000001,0.18994894547140131
1338,-11.0,0.996,0.19022507141365547
1339,-11.0,1.008,0.18648408565083383
1340,-11.0,1.02,0.1984164602584207
1341,-11.0,1.032,0.18765425934162583
1342,-11.0,1.044,0.19709730942824571
1343,-11.0,1.056,0.19319482770274177
1344,-11.0,1.068,0.19076676862778888
1345,-11.0,1.08,0.1950374045273645
1346,-11.0,1.092,0.1923992693247406
1347,-11.0,1.104,0.18051991556739902
1348,-11.0,1.1159999999999999,0.1824069002604267
1349,-11.0,1.128,0.1842559177409797
1350,-11.0,1.14,0.18511143787565254
1351,-11.0,1.152,0.17982022559757033
1352,-11.0,1.1640000000000001,0.1888359459053338
1353,-11.0,1.176,0.19096132521426387
1354,-11.0,1.188,0.18561690212380225
1355,-11.0,1.2,0.18203213534187795
1356,-11.0,1.212,0.17621892508996084
1357,-11.0,1.224,0.18034085886261686
1358,-11.0,1.236,0.18673597952694374
1359,-11.0,1.248,0.18747612473119835
1360,-11.0,1.26,0.19076373348614464
1361,-11.0,1.272,0.17122967040829615
