run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_1_neu_K_20,1,0,6,40,1,40,1,20,1.67295E-06,1.88488E-06,0.000136873,20736226.7,6984.582106,75630.96977,0.020655377,0.01702658,24.69072522,0.042542742,0.046356921,22.38078234
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_1_neu_K_40,1,0,6,40,1,40,1,40,1.49737E-06,1.96256E-06,0.00020911,122359309,19941.82538,75631.15963,0.016824013,0.019549234,99.30983993,0.040328446,0.061398109,93.72879001
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_2_neu_K_10,1,0,6,40,1,40,2,10,1.62949E-06,1.80369E-06,0.000324669,46295.97843,244572.799,75631.22617,0.010471394,0.01336293,73.90670399,0.039616351,0.04080723,69.33045771
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_2_neu_K_20,1,0,6,40,1,40,2,20,1.61727E-06,9.33758E-06,9.40047E-05,1695858.026,434497.6469,75631.22736,0.014307058,0.433357203,20.97046995,0.03714568,0.357900511,19.09805531
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_2_neu_K_40,1,0,6,40,1,40,2,40,9.69356E-06,2.19629E-06,0.000300482,1373044.207,596989.8472,75631.23596,0.462556475,0.017441147,24.92367993,0.382628326,0.049146371,23.1598517
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_10,1,0,6,40,1,40,3,10,1.65078E-06,1.16612E-05,0.000135831,46648.22723,25234.4636,75631.1875,0.006841312,0.302575136,30.0084336,0.03666369,0.246110585,27.44579105
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_20,1,0,6,40,1,40,3,20,1.22071E-05,1.28756E-05,5.33377E-05,22752.74931,16317.43813,75631.22621,0.330590667,0.39283581,45.75698753,0.294243342,0.343050568,42.05224944
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40,1,0,6,40,1,40,3,40,2.53511E-06,1.68744E-06,0.00018598,3893374.191,4090078.731,75631.25039,0.020318868,0.014712489,15.60797805,0.064002323,0.036286543,15.06191151
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_1_neu_K_10,1,0,6,40,2,10,1,10,0.000181808,2.53604E-06,2.98541E-06,75631.2172,15784443.23,905710.0978,30.88593792,0.027066081,0.020325299,28.46182674,0.040248563,0.044467286
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_1_neu_K_20,1,0,6,40,2,10,1,20,0.00010652,1.86231E-06,0.000210237,75631.05906,15896364,75631.16348,88.76206431,0.018724308,20.59156117,82.86915444,0.040402549,19.02170166
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_1_neu_K_40,1,0,6,40,2,10,1,40,8.04891E-05,1.51488E-06,0.000263348,75631.1499,94230072.23,75631.23896,13.78734217,0.014984148,22.26674146,12.70778596,0.03218532,20.81435097
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_2_neu_K_10,1,0,6,40,2,10,2,10,9.46023E-05,1.64918E-06,0.000118614,75631.12632,11413837.96,75631.18742,24.25216159,0.015590638,24.16114466,21.9684203,0.035313444,22.09756714
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_2_neu_K_20,1,0,6,40,2,10,2,20,0.000135717,1.60056E-06,9.80872E-05,75631.09453,58730720.11,75631.16897,152.4683788,0.015966951,21.601906,144.4159874,0.031124674,19.65518502
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_2_neu_K_40,1,0,6,40,2,10,2,40,6.09113E-05,2.03051E-06,0.000304019,75631.06702,17628762.69,75631.21432,12.1629809,0.016923711,33.90009309,10.9828095,0.042646897,31.28860881
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_3_neu_K_10,1,0,6,40,2,10,3,10,0.000115631,1.55558E-06,0.000144588,75631.22653,205515.3157,75631.23673,29.35380303,0.042236175,15.94931052,26.59033822,0.037310888,15.02838153
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_3_neu_K_20,1,0,6,40,2,10,3,20,0.00022327,1.67547E-06,0.000280344,75631.21985,9859246.94,75631.2423,24.13827834,0.025741188,54.77583122,22.17748655,0.041112105,51.45417648
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_10_lay_K_3_neu_K_40,1,0,6,40,2,10,3,40,0.000101648,1.93395E-06,0.000108841,75631.25446,7833508.721,75631.15857,23.30817699,0.01733354,25.5148252,22.11667514,0.037925515,23.00031021
