,z,t,theta_train
905,-7.0,1.824,0.3308268618248911
906,-7.0,1.8359999999999999,0.33183870046168085
907,-7.0,1.848,0.32962721010708834
908,-7.0,1.86,0.32324282408003435
909,-7.0,1.8719999999999999,0.3342704035746712
910,-7.0,1.884,0.3086526506217465
911,-7.0,1.896,0.32016565106776074
912,-7.0,1.908,0.3224384189855124
913,-7.0,1.92,0.3184686444917796
914,-7.0,1.932,0.32134554498033485
915,-7.0,1.944,0.3099379489133139
916,-7.0,1.956,0.31631363983523103
917,-7.0,1.9680000000000002,0.3151949956626372
918,-7.0,1.98,0.3112975921738637
919,-7.0,1.992,0.31872200549594154
920,-7.0,2.004,0.3170759064787318
921,-7.0,2.016,0.30968068843352337
922,-7.0,2.028,0.3063135856657666
923,-7.0,2.04,0.32901516962572885
924,-7.0,2.052,0.31970939648735247
925,-7.0,2.064,0.3236409020233953
926,-7.0,2.076,0.3171742544756576
927,-7.0,2.088,0.3316422545664764
928,-7.0,2.1,0.3431346306556499
929,-7.0,2.112,0.3522622056199578
930,-7.0,2.124,0.35163922243244994
931,-7.0,2.136,0.3458518919839705
932,-7.0,2.148,0.3604933553426455
933,-7.0,2.16,0.35709276766961207
934,-7.0,2.1719999999999997,0.3644731133629302
935,-7.0,2.184,0.36932168504225116
936,-7.0,2.1959999999999997,0.3704738427789279
937,-7.0,2.208,0.3721235790922683
938,-7.0,2.22,0.3689384267985694
939,-7.0,2.2319999999999998,0.3830785169659342
940,-7.0,2.244,0.3804609702701945
941,-7.0,2.256,0.3758145273876554
942,-7.0,2.268,0.3859288667812713
943,-7.0,2.28,0.3742461151047547
944,-7.0,2.2920000000000003,0.38607843434543887
945,-7.0,2.3040000000000003,0.3830145001600818
946,-7.0,2.316,0.381785374351432
947,-7.0,2.3280000000000003,0.38230939317063745
948,-7.0,2.34,0.3879898903972351
949,-7.0,2.352,0.38523675711178185
950,-7.0,2.364,0.37887839931028394
951,-7.0,2.376,0.39385509397506796
952,-7.0,2.388,0.386298318443683
953,-7.0,2.4,0.39682319682364514
954,-7.0,2.412,0.3954416468706914
955,-7.0,2.424,0.3897443542518726
956,-7.0,2.436,0.39129092744801736
957,-7.0,2.448,0.3904984472765723
958,-7.0,2.46,0.39692728548710826
959,-7.0,2.472,0.3892343920292972
960,-7.0,2.484,0.39483508779666154
961,-7.0,2.496,0.4041345761672605
962,-7.0,2.508,0.38272335806621127
963,-7.0,2.52,0.38376991529339083
964,-7.0,2.532,0.38213593396630513
965,-7.0,2.544,0.3710608428917453
966,-7.0,2.556,0.3730284024798216
967,-7.0,2.568,0.38851056737649137
968,-7.0,2.58,0.37727547249386795
969,-7.0,2.592,0.3701531360735774
970,-7.0,2.6039999999999996,0.37081601387132745
971,-7.0,2.616,0.3695260958616309
972,-7.0,2.628,0.3572116531025041
973,-7.0,2.64,0.36089123855687166
974,-7.0,2.6519999999999997,0.36259977479161626
975,-7.0,2.6639999999999997,0.35390910138920667
976,-7.0,2.676,0.3674624589345372
977,-7.0,2.688,0.3573436646099417
978,-7.0,2.7,0.35773015802174196
979,-7.0,2.7119999999999997,0.3526297564705991
980,-7.0,2.7239999999999998,0.36289225507195993
981,-7.0,2.736,0.34780884351360675
982,-7.0,2.748,0.3657699114760263
983,-7.0,2.76,0.3541276398956802
984,-7.0,2.772,0.3382934131642497
985,-7.0,2.7840000000000003,0.3459258493236364
986,-7.0,2.7960000000000003,0.3410309028771848
987,-7.0,2.8080000000000003,0.3449043404979281
988,-7.0,2.82,0.35385597098390953
989,-7.0,2.832,0.3408090112636324
990,-7.0,2.844,0.34185017267783663
991,-7.0,2.8560000000000003,0.32697728280886346
992,-7.0,2.8680000000000003,0.33788112387643765
993,-7.0,2.88,0.3396550921155078
994,-7.0,2.892,0.3457263987249103
995,-7.0,2.904,0.3395983550563399
996,-7.0,2.9160000000000004,0.33633510345310413
997,-7.0,2.928,0.342301738054083
998,-7.0,2.94,0.3388453819258023
999,-7.0,2.952,0.33441213886982607
1000,-7.0,2.964,0.34032484850795
1001,-7.0,2.9760000000000004,0.32955415984491104
1002,-7.0,2.988,0.3313651720334179
1003,-7.0,3.0,0.3291962244649793
1004,-9.0,0.0,0.1232841152651341
1005,-9.0,0.012,0.12414449196203502
1006,-9.0,0.024,0.12522497456484316
1007,-9.0,0.036000000000000004,0.12236548677409999
1008,-9.0,0.048,0.12838830423367392
1009,-9.0,0.06,0.12249003144083674
1010,-9.0,0.07200000000000001,0.1286897800959436
1011,-9.0,0.084,0.12019372996081204
1012,-9.0,0.096,0.11992384844368272
1013,-9.0,0.10800000000000001,0.12913584404336356
1014,-9.0,0.12,0.12849586799056165
1015,-9.0,0.132,0.11426098684902866
1016,-9.0,0.14400000000000002,0.12131578826651428
1017,-9.0,0.156,0.1159849613265597
1018,-9.0,0.168,0.12711527413294424
1019,-9.0,0.18,0.11895165685356594
1020,-9.0,0.192,0.12413179551559056
1021,-9.0,0.204,0.16770772223630465
1022,-9.0,0.21600000000000003,0.24126730231060498
1023,-9.0,0.228,0.26936946559044067
1024,-9.0,0.24,0.29094262600173015
1025,-9.0,0.252,0.3085610157586223
1026,-9.0,0.264,0.31558970532813724
1027,-9.0,0.276,0.3213756471682082
1028,-9.0,0.28800000000000003,0.3087593624930343
1029,-9.0,0.3,0.3223039343997205
1030,-9.0,0.312,0.31732440869934164
1031,-9.0,0.324,0.3152808902184635
1032,-9.0,0.336,0.3133331100224297
1033,-9.0,0.34800000000000003,0.3129820738916588
1034,-9.0,0.36,0.3153353823956531
1035,-9.0,0.37200000000000005,0.3166235012382253
1036,-9.0,0.384,0.31320272388522785
1037,-9.0,0.396,0.3184558899002635
1038,-9.0,0.408,0.29985268013857175
1039,-9.0,0.42,0.3014661853998525
1040,-9.0,0.43200000000000005,0.30092473055067503
1041,-9.0,0.444,0.3006509091180855
1042,-9.0,0.456,0.2991749131246132
1043,-9.0,0.46799999999999997,0.29748534491848316
1044,-9.0,0.48,0.3063328582139423
1045,-9.0,0.49200000000000005,0.3054064360684709
1046,-9.0,0.504,0.29875754863985643
1047,-9.0,0.516,0.28512609701046027
1048,-9.0,0.528,0.29556359794092946
1049,-9.0,0.54,0.29620779496275484
1050,-9.0,0.552,0.29234207137619694
1051,-9.0,0.5640000000000001,0.2866876867575234
1052,-9.0,0.5760000000000001,0.2929130502651983
1053,-9.0,0.588,0.28908453451651833
1054,-9.0,0.6,0.27438698710925513
1055,-9.0,0.612,0.2878592987124108
1056,-9.0,0.624,0.29548984448520976
1057,-9.0,0.636,0.2812360164417059
1058,-9.0,0.648,0.28411601179293416
1059,-9.0,0.66,0.29061257964965387
1060,-9.0,0.672,0.2770760009129206
1061,-9.0,0.684,0.28702413469779514
1062,-9.0,0.6960000000000001,0.28275927428614445
1063,-9.0,0.708,0.2815860139413949
1064,-9.0,0.72,0.28287400243412414
1065,-9.0,0.732,0.28744864090939914
1066,-9.0,0.7440000000000001,0.27872898891506265
1067,-9.0,0.7559999999999999,0.27888048113061636
1068,-9.0,0.768,0.2829855576918654
1069,-9.0,0.78,0.2752885961617475
