run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_2_neu_K_40,1,0,8,40,3,10,2,40,2.06516E-06,1.55592E-06,3.19441E-06,23467.66866,14284.69749,43586.48357,0.009226999,0.008162293,0.016577891,0.040157745,0.034603964,0.062337554
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_3_neu_K_10,1,0,8,40,3,10,3,10,2.10041E-06,2.64967E-06,3.89819E-06,22367.02152,26744.69736,38601.12878,0.011918795,0.013849172,0.014026565,0.042780382,0.052473646,0.069116695
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_3_neu_K_20,1,0,8,40,3,10,3,20,1.72899E-06,3.51106E-06,1.55038E-06,9518.72966,45397.35048,28343.52583,0.010143052,0.019886847,0.007915242,0.031902527,0.07149265,0.041058262
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_3_neu_K_40,1,0,8,40,3,10,3,40,2.15314E-06,2.30049E-06,1.74621E-06,27055.51194,30503.09271,26402.12877,0.013603074,0.012861462,0.008279305,0.049205812,0.053094137,0.035456966
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_1_neu_K_10,1,0,8,40,3,20,1,10,2.14811E-06,2.74917E-06,2.19207E-06,485.7719953,22444.44657,14964.28969,0.014686375,0.017167518,0.01104555,0.046214943,0.055418219,0.047477023
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_1_neu_K_20,1,0,8,40,3,20,1,20,2.21503E-06,1.50716E-06,1.77529E-06,74143.66012,35569.66394,6129.35723,0.019582155,0.008268615,0.009061645,0.047496837,0.041764156,0.037367528
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_1_neu_K_40,1,0,8,40,3,20,1,40,2.29349E-06,2.15816E-06,1.59185E-06,8680.09366,3394.200402,2039.432751,0.017841103,0.014435227,0.008693199,0.039185992,0.057202245,0.036646502
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_2_neu_K_10,1,0,8,40,3,20,2,10,1.59792E-06,2.27396E-06,1.56251E-06,23358.46003,31924.00731,28914.41385,0.011236055,0.011826143,0.006813461,0.036052485,0.049095862,0.03361798
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_2_neu_K_20,1,0,8,40,3,20,2,20,3.14897E-06,1.34035E-05,2.99103E-06,34087.21135,19008.33923,45377.39933,0.012329191,0.2354658,0.014193921,0.058622765,0.210329726,0.052794489
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_2_neu_K_40,1,0,8,40,3,20,2,40,1.8447E-06,6.18931E-06,1.64077E-06,29332.99108,4501.84596,36061.94267,0.008214682,0.056500301,0.007831179,0.041425896,0.098936533,0.040246197
