 ******* Program HYDRUS
 ******* 
 Infiltration of water into soil profile                                 
 Date:   1. 9.    Time:  12:30:57
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  289     28.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  290     28.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  291     29.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  292     29.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  293     29.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  294     29.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  295     29.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  296     29.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  297     29.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  298     29.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  299     29.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  300     29.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  301     30.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  302     30.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  303     30.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  304     30.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  305     30.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  306     30.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  307     30.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  308     30.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  309     30.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  310     30.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  311     31.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  312     31.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  313     31.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  314     31.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  315     31.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  316     31.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  317     31.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  318     31.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  319     31.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  320     31.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  321     32.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  322     32.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  323     32.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  324     32.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  325     32.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  326     32.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  327     32.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  328     32.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  329     32.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  330     32.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  331     33.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  332     33.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  333     33.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  334     33.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  335     33.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  336     33.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  337     33.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  338     33.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  339     33.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  340     33.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  341     34.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  342     34.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  343     34.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  344     34.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  345     34.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  346     34.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  347     34.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  348     34.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  349     34.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  350     34.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  351     35.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  352     35.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  353     35.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  354     35.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  355     35.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  356     35.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  357     35.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  358     35.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  359     35.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  360     35.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  361     36.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  362     36.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  363     36.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  364     36.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  365     36.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  366     36.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  367     36.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  368     36.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  369     36.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  370     36.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  371     37.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  372     37.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  373     37.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  374     37.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  375     37.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  376     37.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  377     37.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  378     37.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  379     37.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  380     37.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  381     38.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  382     38.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  383     38.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  384     38.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  385     38.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  386     38.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  387     38.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  388     38.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  389     38.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  390     38.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  391     39.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  392     39.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  393     39.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  394     39.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  395     39.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  396     39.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  397     39.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  398     39.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  399     39.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  400     39.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  401     40.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  402     40.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  403     40.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  404     40.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  405     40.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  406     40.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  407     40.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  408     40.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  409     40.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  410     40.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  411     41.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  412     41.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  413     41.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  414     41.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  415     41.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  416     41.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  417     41.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  418     41.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  419     41.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  420     41.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  421     42.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  422     42.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  423     42.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  424     42.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  425     42.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  426     42.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  427     42.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  428     42.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  429     42.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  430     42.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  431     43.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  432     43.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  433     43.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  434     43.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  435     43.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  436     43.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  437     43.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  438     43.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  439     43.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  440     43.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  441     44.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  442     44.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  443     44.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  444     44.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  445     44.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  446     44.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  447     44.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  448     44.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  449     44.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  450     44.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  451     45.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  452     45.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  453     45.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  454     45.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  455     45.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  456     45.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  457     45.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  458     45.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  459     45.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  460     45.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  461     46.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  462     46.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  463     46.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  464     46.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  465     46.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  466     46.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  467     46.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  468     46.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  469     46.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  470     46.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  471     47.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  472     47.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  473     47.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  474     47.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  475     47.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  476     47.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  477     47.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  478     47.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  479     47.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  480     47.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  481     48.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  482     48.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  483     48.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  484     48.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  485     48.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  486     48.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  487     48.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  488     48.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  489     48.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  490     48.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  491     49.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  492     49.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  493     49.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  494     49.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  495     49.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  496     49.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  497     49.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  498     49.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  499     49.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  500     49.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  501     50.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  502     50.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  503     50.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  504     50.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  505     50.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  506     50.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  507     50.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  508     50.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  509     50.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  510     50.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  511     51.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  512     51.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  513     51.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  514     51.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  515     51.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  516     51.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  517     51.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  518     51.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  519     51.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  520     51.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  521     52.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  522     52.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  523     52.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  524     52.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  525     52.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  526     52.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  527     52.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  528     52.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  529     52.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  530     52.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  531     53.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  532     53.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  533     53.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  534     53.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  535     53.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  536     53.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  537     53.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  538     53.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  539     53.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  540     53.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  541     54.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  542     54.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  543     54.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  544     54.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  545     54.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  546     54.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  547     54.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  548     54.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  549     54.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  550     54.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  551     55.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  552     55.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  553     55.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  554     55.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  555     55.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  556     55.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  557     55.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  558     55.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  559     55.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  560     55.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  561     56.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  562     56.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  563     56.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  564     56.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  565     56.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  566     56.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  567     56.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  568     56.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  569     56.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  570     56.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  571     57.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  572     57.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  573     57.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  574     57.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  575     57.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  576     57.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  577     57.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  578     57.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  579     57.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  580     57.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  581     58.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  582     58.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  583     58.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  584     58.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  585     58.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  586     58.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  587     58.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  588     58.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  589     58.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
